row_index,field,old_value,new_value,rule,reason
5466,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5467,reasoning,elt_sleep,,R6,Reasoning quality: Only 9 chars (need >= 30)
5468,reasoning,ctxsys_drithsx,,R6,Reasoning quality: Only 14 chars (need >= 30)
5469,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5470,reasoning,exp_extract,,R6,Reasoning quality: Only 11 chars (need >= 30)
5471,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5472,reasoning,updatexml,,R6,Reasoning quality: Only 9 chars (need >= 30)
5473,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5474,reasoning,oracle_sysjoin,,R6,Reasoning quality: Only 14 chars (need >= 30)
5475,reasoning,rlike_sleep,,R6,Reasoning quality: Only 11 chars (need >= 30)
5476,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5477,reasoning,pg_sleep,,R6,Reasoning quality: Only 8 chars (need >= 30)
5478,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5479,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5480,reasoning,oracle_sysjoin,,R6,Reasoning quality: Only 14 chars (need >= 30)
5481,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5481,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5482,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5483,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5484,reasoning,utl_inaddr,,R6,Reasoning quality: Only 10 chars (need >= 30)
5485,reasoning,oracle_sysjoin,,R6,Reasoning quality: Only 14 chars (need >= 30)
5486,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5486,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5487,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5487,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5488,reasoning,dbms_pipe,,R6,Reasoning quality: Only 9 chars (need >= 30)
5489,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5489,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5490,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5490,reasoning,or_inequality,,R6,Reasoning quality: Only 13 chars (need >= 30)
5491,reasoning,oracle_sysjoin,,R6,Reasoning quality: Only 14 chars (need >= 30)
5492,reasoning,updatexml,,R6,Reasoning quality: Only 9 chars (need >= 30)
5493,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5493,reasoning,and_equality,,R6,Reasoning quality: Only 12 chars (need >= 30)
5494,reasoning,generate_series,,R6,Reasoning quality: Only 15 chars (need >= 30)
5495,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5495,reasoning,or_inequality,,R6,Reasoning quality: Only 13 chars (need >= 30)
5496,reasoning,generate_series,,R6,Reasoning quality: Only 15 chars (need >= 30)
5497,reasoning,mssql_sysjoin,,R6,Reasoning quality: Only 13 chars (need >= 30)
5498,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5499,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5499,reasoning,case_null,,R6,Reasoning quality: Only 9 chars (need >= 30)
5500,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5501,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5502,reasoning,rlike_sleep,,R6,Reasoning quality: Only 11 chars (need >= 30)
5503,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5503,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5504,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5504,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5505,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5506,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5507,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5507,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5508,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5508,reasoning,inequality,,R6,Reasoning quality: Only 10 chars (need >= 30)
5509,reasoning,generate_series,,R6,Reasoning quality: Only 15 chars (need >= 30)
5510,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5510,reasoning,row_count,,R6,Reasoning quality: Only 9 chars (need >= 30)
5511,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5512,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5512,reasoning,or_inequality,,R6,Reasoning quality: Only 13 chars (need >= 30)
5513,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5514,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5515,reasoning,oracle_sysjoin,,R6,Reasoning quality: Only 14 chars (need >= 30)
5516,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5516,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5517,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5517,reasoning,count_concat,,R6,Reasoning quality: Only 12 chars (need >= 30)
5518,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5519,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5519,reasoning,row_count,,R6,Reasoning quality: Only 9 chars (need >= 30)
5810,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5810,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5811,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5811,reasoning,elt_equality,,R6,Reasoning quality: Only 12 chars (need >= 30)
5812,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5812,reasoning,elt_equality,,R6,Reasoning quality: Only 12 chars (need >= 30)
5813,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5814,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5815,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5816,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5816,reasoning,postgresql_cast,,R6,Reasoning quality: Only 15 chars (need >= 30)
5817,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5817,reasoning,elt_equality,,R6,Reasoning quality: Only 12 chars (need >= 30)
5818,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5819,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5820,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5821,reasoning,like_randomblob,,R6,Reasoning quality: Only 15 chars (need >= 30)
5822,reasoning,domain_join,,R6,Reasoning quality: Only 11 chars (need >= 30)
5823,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5823,reasoning,postgresql_cast,,R6,Reasoning quality: Only 15 chars (need >= 30)
5824,reasoning,firebird_sysjoin,,R6,Reasoning quality: Only 16 chars (need >= 30)
5825,reasoning,generate_series,,R6,Reasoning quality: Only 15 chars (need >= 30)
5826,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5827,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5827,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5828,reasoning,mssql_sysjoin,,R6,Reasoning quality: Only 13 chars (need >= 30)
5829,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5830,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5831,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5832,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5833,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5834,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5834,reasoning,case_cast,,R6,Reasoning quality: Only 9 chars (need >= 30)
5835,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5836,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5837,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5838,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5838,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5839,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5839,reasoning,case_null,,R6,Reasoning quality: Only 9 chars (need >= 30)
5840,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5840,reasoning,postgresql_cast,,R6,Reasoning quality: Only 15 chars (need >= 30)
5841,reasoning,updatexml,,R6,Reasoning quality: Only 9 chars (need >= 30)
5842,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5842,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5843,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5843,reasoning,or_inequality,,R6,Reasoning quality: Only 13 chars (need >= 30)
5844,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5845,reasoning,dbms_utility,,R6,Reasoning quality: Only 12 chars (need >= 30)
5846,reasoning,generate_series,,R6,Reasoning quality: Only 15 chars (need >= 30)
5847,db_engine,oracle,mysql,R4,"SLEEP() is MySQL function, not Oracle"
5847,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5848,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5849,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5849,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5850,reasoning,rlike_sleep,,R6,Reasoning quality: Only 11 chars (need >= 30)
5851,reasoning,updatexml,,R6,Reasoning quality: Only 9 chars (need >= 30)
5852,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5853,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5854,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5855,reasoning,xmltype_error,,R6,Reasoning quality: Only 13 chars (need >= 30)
5856,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5856,reasoning,elt_boolean,,R6,Reasoning quality: Only 11 chars (need >= 30)
5857,reasoning,extractvalue,,R6,Reasoning quality: Only 12 chars (need >= 30)
5858,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5858,reasoning,elt_equality,,R6,Reasoning quality: Only 12 chars (need >= 30)
5859,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5859,reasoning,order_by,,R6,Reasoning quality: Only 8 chars (need >= 30)
5860,reasoning,domain_join,,R6,Reasoning quality: Only 11 chars (need >= 30)
5861,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5861,reasoning,postgresql_cast,,R6,Reasoning quality: Only 15 chars (need >= 30)
5862,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5863,reasoning,ctxsys_drithsx,,R6,Reasoning quality: Only 14 chars (need >= 30)
5864,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5865,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5866,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5867,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5868,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5869,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5869,reasoning,order_by,,R6,Reasoning quality: Only 8 chars (need >= 30)
5870,reasoning,ctxsys_drithsx,,R6,Reasoning quality: Only 14 chars (need >= 30)
5871,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5871,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5872,reasoning,exp_extract,,R6,Reasoning quality: Only 11 chars (need >= 30)
5873,reasoning,like_randomblob,,R6,Reasoning quality: Only 15 chars (need >= 30)
5874,reasoning,dbms_pipe,,R6,Reasoning quality: Only 9 chars (need >= 30)
5875,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5876,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5876,reasoning,concat_equality,,R6,Reasoning quality: Only 15 chars (need >= 30)
5877,reasoning,rlike_sleep,,R6,Reasoning quality: Only 11 chars (need >= 30)
5878,reasoning,domain_join,,R6,Reasoning quality: Only 11 chars (need >= 30)
5879,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5880,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5880,reasoning,concat_equality,,R6,Reasoning quality: Only 15 chars (need >= 30)
5881,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5882,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5883,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5884,reasoning,pg_sleep,,R6,Reasoning quality: Only 8 chars (need >= 30)
5885,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5886,reasoning,pg_sleep,,R6,Reasoning quality: Only 8 chars (need >= 30)
5887,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5887,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5888,reasoning,elt_sleep,,R6,Reasoning quality: Only 9 chars (need >= 30)
5889,reasoning,waitfor,,R6,Reasoning quality: Only 7 chars (need >= 30)
5890,reasoning,sleep_time,,R6,Reasoning quality: Only 10 chars (need >= 30)
5891,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5892,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5892,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5893,reasoning,pg_sleep,,R6,Reasoning quality: Only 8 chars (need >= 30)
5894,reasoning,convert_char,,R6,Reasoning quality: Only 12 chars (need >= 30)
5895,reasoning,ctxsys_drithsx,,R6,Reasoning quality: Only 14 chars (need >= 30)
5896,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5896,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5897,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5897,reasoning,concat_equality,,R6,Reasoning quality: Only 15 chars (need >= 30)
5898,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5899,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5899,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5900,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5901,reasoning,elt_sleep,,R6,Reasoning quality: Only 9 chars (need >= 30)
5902,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5903,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5903,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5904,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5905,reasoning,exp_extract,,R6,Reasoning quality: Only 11 chars (need >= 30)
5906,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5906,reasoning,arithmetic,,R6,Reasoning quality: Only 10 chars (need >= 30)
5907,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5908,reasoning,updatexml,,R6,Reasoning quality: Only 9 chars (need >= 30)
5909,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5910,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5911,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5912,reasoning,firebird_sysjoin,,R6,Reasoning quality: Only 16 chars (need >= 30)
5913,reasoning,ctxsys_drithsx,,R6,Reasoning quality: Only 14 chars (need >= 30)
5914,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5915,reasoning,firebird_sysjoin,,R6,Reasoning quality: Only 16 chars (need >= 30)
5916,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5917,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5917,reasoning,end_and,,R6,Reasoning quality: Only 7 chars (need >= 30)
5918,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5918,reasoning,arithmetic,,R6,Reasoning quality: Only 10 chars (need >= 30)
5919,reasoning,convert_char,,R6,Reasoning quality: Only 12 chars (need >= 30)
5920,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5920,reasoning,postgresql_cast,,R6,Reasoning quality: Only 15 chars (need >= 30)
5921,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5922,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5922,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5923,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5924,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5925,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5926,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5926,reasoning,arithmetic,,R6,Reasoning quality: Only 10 chars (need >= 30)
5927,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5928,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5929,reasoning,updatexml,,R6,Reasoning quality: Only 9 chars (need >= 30)
5930,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5930,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5931,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5932,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5932,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5933,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5933,reasoning,concat_equality,,R6,Reasoning quality: Only 15 chars (need >= 30)
5934,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5934,reasoning,elt_equality,,R6,Reasoning quality: Only 12 chars (need >= 30)
5935,reasoning,dbms_pipe,,R6,Reasoning quality: Only 9 chars (need >= 30)
5936,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5936,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5937,reasoning,like_randomblob,,R6,Reasoning quality: Only 15 chars (need >= 30)
5938,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5939,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5939,reasoning,concat_equality,,R6,Reasoning quality: Only 15 chars (need >= 30)
5940,reasoning,domain_join,,R6,Reasoning quality: Only 11 chars (need >= 30)
5941,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5942,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5942,reasoning,group_concat,,R6,Reasoning quality: Only 12 chars (need >= 30)
5943,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5944,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5944,reasoning,arithmetic,,R6,Reasoning quality: Only 10 chars (need >= 30)
5945,reasoning,rlike_sleep,,R6,Reasoning quality: Only 11 chars (need >= 30)
5946,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5947,reasoning,convert_char,,R6,Reasoning quality: Only 12 chars (need >= 30)
5948,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5948,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5949,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5949,reasoning,iif_boolean,,R6,Reasoning quality: Only 11 chars (need >= 30)
5950,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5951,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5952,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5952,reasoning,case_cast,,R6,Reasoning quality: Only 9 chars (need >= 30)
5953,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5954,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5954,reasoning,if_subquery,,R6,Reasoning quality: Only 11 chars (need >= 30)
5955,reasoning,benchmark,,R6,Reasoning quality: Only 9 chars (need >= 30)
5956,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5956,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5957,reasoning,mssql_sysjoin,,R6,Reasoning quality: Only 13 chars (need >= 30)
5958,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5959,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5960,reasoning,db2_sysjoin,,R6,Reasoning quality: Only 11 chars (need >= 30)
5961,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5962,reasoning,generate_series,,R6,Reasoning quality: Only 15 chars (need >= 30)
5963,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5963,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5964,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5964,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5965,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5966,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5966,reasoning,arithmetic,,R6,Reasoning quality: Only 10 chars (need >= 30)
5967,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5967,reasoning,arithmetic,,R6,Reasoning quality: Only 10 chars (need >= 30)
5968,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5968,reasoning,order_by,,R6,Reasoning quality: Only 8 chars (need >= 30)
5969,reasoning,oracle_union,,R6,Reasoning quality: Only 12 chars (need >= 30)
5970,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5971,reasoning,rlike_sleep,,R6,Reasoning quality: Only 11 chars (need >= 30)
5972,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5973,reasoning,updatexml,,R6,Reasoning quality: Only 9 chars (need >= 30)
5974,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5974,reasoning,order_by,,R6,Reasoning quality: Only 8 chars (need >= 30)
5975,reasoning,domain_join,,R6,Reasoning quality: Only 11 chars (need >= 30)
5976,reasoning,convert_char,,R6,Reasoning quality: Only 12 chars (need >= 30)
5977,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5978,reasoning,sleep_subquery,,R6,Reasoning quality: Only 14 chars (need >= 30)
5979,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5980,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5980,reasoning,make_set,,R6,Reasoning quality: Only 8 chars (need >= 30)
5981,reasoning,waitfor,,R6,Reasoning quality: Only 7 chars (need >= 30)
5982,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5982,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5983,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5983,reasoning,case_cast,,R6,Reasoning quality: Only 9 chars (need >= 30)
5984,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
5985,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5985,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5986,reasoning,oracle_sysjoin,,R6,Reasoning quality: Only 14 chars (need >= 30)
5987,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5987,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5988,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5989,reasoning,oracle_union,,R6,Reasoning quality: Only 12 chars (need >= 30)
5990,reasoning,regexp_substring,,R6,Reasoning quality: Only 16 chars (need >= 30)
5991,reasoning,domain_join,,R6,Reasoning quality: Only 11 chars (need >= 30)
5992,reasoning,like_randomblob,,R6,Reasoning quality: Only 15 chars (need >= 30)
5993,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5993,reasoning,or_equality,,R6,Reasoning quality: Only 11 chars (need >= 30)
5994,reasoning,union_null,,R6,Reasoning quality: Only 10 chars (need >= 30)
5995,reasoning,like_randomblob,,R6,Reasoning quality: Only 15 chars (need >= 30)
5996,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5996,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5997,reasoning,dbms_utility,,R6,Reasoning quality: Only 12 chars (need >= 30)
5998,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5998,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
5999,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
5999,reasoning,if_subquery,,R6,Reasoning quality: Only 11 chars (need >= 30)
6000,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
6000,reasoning,arithmetic,,R6,Reasoning quality: Only 10 chars (need >= 30)
6001,reasoning,union_select,,R6,Reasoning quality: Only 12 chars (need >= 30)
6002,reasoning,convert_char,,R6,Reasoning quality: Only 12 chars (need >= 30)
6003,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
6003,reasoning,if_subquery,,R6,Reasoning quality: Only 11 chars (need >= 30)
6004,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
6004,reasoning,where_equality,,R6,Reasoning quality: Only 14 chars (need >= 30)
6005,reasoning,utl_inaddr,,R6,Reasoning quality: Only 10 chars (need >= 30)
6006,sqli_type,boolean_based,boolean_blind,R1,Normalize boolean_based -> boolean_blind
6006,reasoning,elt_equality,,R6,Reasoning quality: Only 12 chars (need >= 30)
6007,reasoning,dbms_utility,,R6,Reasoning quality: Only 12 chars (need >= 30)
