sample_id,module_id,parent_sample_id,parent_module_level,payload_before_transform,payload_raw,payload_canonical,validation_payload_v4,transform_recipe_id,roundtrip_valid,structure_preserved,semantic_preserved,semantic_preservation_basis
Y3_R022_C07_S02,Y3_encoded_boolean,Y2_R022_C07_S02,Y2_boolean_variation,"(81 IN (64, 81, 1)) AND (18 = 18)",%2881%20IN%20%2864%2C%2081%2C%201%29%29%20AND%20%2818%20=%2018%29,"(81 IN (64, 81, 1)) AND (18 = 18)","(81 IN (64, 81, 1)) AND (18 = 18)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C07_S03,Y3_encoded_boolean,Y1_R022_C07_S03,Y1_basic_boolean,"(94 IN (77, 94, 14)) AND (31 = 31)","(94%20IN%20(77,%2094,%2014))%20AND%20(31%20%3D%2031)","(94 IN (77, 94, 14)) AND (31 = 31)","(94 IN (77, 94, 14)) AND (31 = 31)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C07_S04,Y3_encoded_boolean,Y1_R022_C07_S04,Y1_basic_boolean,"(99 IN (90, 10, 27)) AND (44 = 44)",%2899%20IN%20%2890%2C%2010%2C%2027%29%29%20AND%20%2844%20%3D%2044%29,"(99 IN (90, 10, 27)) AND (44 = 44)","(99 IN (90, 10, 27)) AND (44 = 44)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C07_S05,Y3_encoded_boolean,Y2_R022_C07_S05,Y2_boolean_variation,"(49 IN (6, 23, 40)) AND (57 = 57)",%2849%20IN%20%286%2C%2023%2C%2040%29%29%20AND%20%2857%20=%2057%29,"(49 IN (6, 23, 40)) AND (57 = 57)","(49 IN (6, 23, 40)) AND (57 = 57)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C07_S06,Y3_encoded_boolean,Y1_R022_C07_S06,Y1_basic_boolean,"(62 IN (19, 36, 53)) AND (70 = 70)","(62%20IN%20(19,%2036,%2053))%20AND%20(70%20%3D%2070)","(62 IN (19, 36, 53)) AND (70 = 70)","(62 IN (19, 36, 53)) AND (70 = 70)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C08_S01,Y3_encoded_boolean,Y2_R022_C08_S01,Y2_boolean_variation,"(79 IN (62, 79, 96)) OR (33 <> 33)",%2879%20IN%20%2862%2C%2079%2C%2096%29%29%20OR%20%2833%20<>%2033%29,"(79 IN (62, 79, 96)) OR (33 <> 33)","(79 IN (62, 79, 96)) OR (33 <> 33)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C08_S02,Y3_encoded_boolean,Y1_R022_C08_S02,Y1_basic_boolean,"(92 IN (75, 92, 12)) OR (46 <> 46)","(92%20IN%20(75,%2092,%2012))%20OR%20(46%20%3C%3E%2046)","(92 IN (75, 92, 12)) OR (46 <> 46)","(92 IN (75, 92, 12)) OR (46 <> 46)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C08_S03,Y3_encoded_boolean,Y1_R022_C08_S03,Y1_basic_boolean,"(8 IN (88, 8, 25)) OR (59 <> 59)",%288%20IN%20%2888%2C%208%2C%2025%29%29%20OR%20%2859%20%3C%3E%2059%29,"(8 IN (88, 8, 25)) OR (59 <> 59)","(8 IN (88, 8, 25)) OR (59 <> 59)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C08_S04,Y3_encoded_boolean,Y2_R022_C08_S04,Y2_boolean_variation,"(47 IN (4, 21, 38)) OR (72 <> 72)",%2847%20IN%20%284%2C%2021%2C%2038%29%29%20OR%20%2872%20<>%2072%29,"(47 IN (4, 21, 38)) OR (72 <> 72)","(47 IN (4, 21, 38)) OR (72 <> 72)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C08_S05,Y3_encoded_boolean,Y1_R022_C08_S05,Y1_basic_boolean,"(60 IN (17, 34, 51)) OR (85 <> 85)","(60%20IN%20(17,%2034,%2051))%20OR%20(85%20%3C%3E%2085)","(60 IN (17, 34, 51)) OR (85 <> 85)","(60 IN (17, 34, 51)) OR (85 <> 85)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C08_S06,Y3_encoded_boolean,Y1_R022_C08_S06,Y1_basic_boolean,"(73 IN (30, 47, 64)) OR (1 <> 1)",%2873%20IN%20%2830%2C%2047%2C%2064%29%29%20OR%20%281%20%3C%3E%201%29,"(73 IN (30, 47, 64)) OR (1 <> 1)","(73 IN (30, 47, 64)) OR (1 <> 1)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C09_S01,Y3_encoded_boolean,Y1_R022_C09_S01,Y1_basic_boolean,"((90 IN (73, 90, 10)) = TRUE)","((90%20IN%20(73,%2090,%2010))%20%3D%20TRUE)","((90 IN (73, 90, 10)) = TRUE)","((90 IN (73, 90, 10)) = TRUE)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C09_S02,Y3_encoded_boolean,Y1_R022_C09_S02,Y1_basic_boolean,"((6 IN (86, 6, 23)) = TRUE)",%28%286%20IN%20%2886%2C%206%2C%2023%29%29%20%3D%20TRUE%29,"((6 IN (86, 6, 23)) = TRUE)","((6 IN (86, 6, 23)) = TRUE)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C09_S03,Y3_encoded_boolean,Y2_R022_C09_S03,Y2_boolean_variation,"((19 IN (2, 19, 36)) = TRUE)",%28%2819%20IN%20%282%2C%2019%2C%2036%29%29%20=%20TRUE%29,"((19 IN (2, 19, 36)) = TRUE)","((19 IN (2, 19, 36)) = TRUE)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C09_S04,Y3_encoded_boolean,Y1_R022_C09_S04,Y1_basic_boolean,"((58 IN (15, 32, 49)) = TRUE)","((58%20IN%20(15,%2032,%2049))%20%3D%20TRUE)","((58 IN (15, 32, 49)) = TRUE)","((58 IN (15, 32, 49)) = TRUE)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C09_S05,Y3_encoded_boolean,Y1_R022_C09_S05,Y1_basic_boolean,"((71 IN (28, 45, 62)) = TRUE)",%28%2871%20IN%20%2828%2C%2045%2C%2062%29%29%20%3D%20TRUE%29,"((71 IN (28, 45, 62)) = TRUE)","((71 IN (28, 45, 62)) = TRUE)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C09_S06,Y3_encoded_boolean,Y2_R022_C09_S06,Y2_boolean_variation,"((84 IN (41, 58, 75)) = TRUE)",%28%2884%20IN%20%2841%2C%2058%2C%2075%29%29%20=%20TRUE%29,"((84 IN (41, 58, 75)) = TRUE)","((84 IN (41, 58, 75)) = TRUE)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C10_S01,Y3_encoded_boolean,Y1_R022_C10_S01,Y1_basic_boolean,"COALESCE((4 IN (84, 4, 21)), FALSE)",COALESCE%28%284%20IN%20%2884%2C%204%2C%2021%29%29%2C%20FALSE%29,"COALESCE((4 IN (84, 4, 21)), FALSE)","COALESCE((4 IN (84, 4, 21)), FALSE)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C10_S02,Y3_encoded_boolean,Y2_R022_C10_S02,Y2_boolean_variation,"COALESCE((17 IN (97, 17, 34)), FALSE)",COALESCE%28%2817%20IN%20%2897%2C%2017%2C%2034%29%29%2C%20FALSE%29,"COALESCE((17 IN (97, 17, 34)), FALSE)","COALESCE((17 IN (97, 17, 34)), FALSE)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C10_S03,Y3_encoded_boolean,Y1_R022_C10_S03,Y1_basic_boolean,"COALESCE((30 IN (13, 30, 47)), FALSE)","COALESCE((30%20IN%20(13,%2030,%2047)),%20FALSE)","COALESCE((30 IN (13, 30, 47)), FALSE)","COALESCE((30 IN (13, 30, 47)), FALSE)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C10_S04,Y3_encoded_boolean,Y1_R022_C10_S04,Y1_basic_boolean,"COALESCE((69 IN (26, 43, 60)), FALSE)",COALESCE%28%2869%20IN%20%2826%2C%2043%2C%2060%29%29%2C%20FALSE%29,"COALESCE((69 IN (26, 43, 60)), FALSE)","COALESCE((69 IN (26, 43, 60)), FALSE)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C10_S05,Y3_encoded_boolean,Y2_R022_C10_S05,Y2_boolean_variation,"COALESCE((82 IN (39, 56, 73)), FALSE)",COALESCE%28%2882%20IN%20%2839%2C%2056%2C%2073%29%29%2C%20FALSE%29,"COALESCE((82 IN (39, 56, 73)), FALSE)","COALESCE((82 IN (39, 56, 73)), FALSE)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R022_C10_S06,Y3_encoded_boolean,Y1_R022_C10_S06,Y1_basic_boolean,"COALESCE((95 IN (52, 69, 86)), FALSE)","COALESCE((95%20IN%20(52,%2069,%2086)),%20FALSE)","COALESCE((95 IN (52, 69, 86)), FALSE)","COALESCE((95 IN (52, 69, 86)), FALSE)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C01_S01,Y3_encoded_boolean,Y2_R023_C01_S01,Y2_boolean_variation,"98 NOT IN (89, 9, 26)",98%20NOT%20IN%20%2889%2C%209%2C%2026%29,"98 NOT IN (89, 9, 26)","98 NOT IN (89, 9, 26)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C01_S02,Y3_encoded_boolean,Y1_R023_C01_S02,Y1_basic_boolean,"48 NOT IN (5, 22, 39)","48%20NOT%20IN%20(5,%2022,%2039)","48 NOT IN (5, 22, 39)","48 NOT IN (5, 22, 39)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C01_S03,Y3_encoded_boolean,Y1_R023_C01_S03,Y1_basic_boolean,"61 NOT IN (18, 35, 52)",61%20NOT%20IN%20%2818%2C%2035%2C%2052%29,"61 NOT IN (18, 35, 52)","61 NOT IN (18, 35, 52)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C01_S04,Y3_encoded_boolean,Y2_R023_C01_S04,Y2_boolean_variation,"48 NOT IN (31, 48, 65)",48%20NOT%20IN%20%2831%2C%2048%2C%2065%29,"48 NOT IN (31, 48, 65)","48 NOT IN (31, 48, 65)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C01_S05,Y3_encoded_boolean,Y1_R023_C01_S05,Y1_basic_boolean,"61 NOT IN (44, 61, 78)","61%20NOT%20IN%20(44,%2061,%2078)","61 NOT IN (44, 61, 78)","61 NOT IN (44, 61, 78)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C01_S06,Y3_encoded_boolean,Y1_R023_C01_S06,Y1_basic_boolean,"74 NOT IN (57, 74, 91)",74%20NOT%20IN%20%2857%2C%2074%2C%2091%29,"74 NOT IN (57, 74, 91)","74 NOT IN (57, 74, 91)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C02_S01,Y3_encoded_boolean,Y1_R023_C02_S01,Y1_basic_boolean,"(46 NOT IN (3, 20, 37))","(46%20NOT%20IN%20(3,%2020,%2037))","(46 NOT IN (3, 20, 37))","(46 NOT IN (3, 20, 37))",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C02_S02,Y3_encoded_boolean,Y1_R023_C02_S02,Y1_basic_boolean,"(59 NOT IN (16, 33, 50))",%2859%20NOT%20IN%20%2816%2C%2033%2C%2050%29%29,"(59 NOT IN (16, 33, 50))","(59 NOT IN (16, 33, 50))",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C02_S03,Y3_encoded_boolean,Y2_R023_C02_S03,Y2_boolean_variation,"(72 NOT IN (29, 46, 63))",%2872%20NOT%20IN%20%2829%2C%2046%2C%2063%29%29,"(72 NOT IN (29, 46, 63))","(72 NOT IN (29, 46, 63))",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C02_S04,Y3_encoded_boolean,Y1_R023_C02_S04,Y1_basic_boolean,"(59 NOT IN (42, 59, 76))","(59%20NOT%20IN%20(42,%2059,%2076))","(59 NOT IN (42, 59, 76))","(59 NOT IN (42, 59, 76))",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C02_S05,Y3_encoded_boolean,Y1_R023_C02_S05,Y1_basic_boolean,"(72 NOT IN (55, 72, 89))",%2872%20NOT%20IN%20%2855%2C%2072%2C%2089%29%29,"(72 NOT IN (55, 72, 89))","(72 NOT IN (55, 72, 89))",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C02_S06,Y3_encoded_boolean,Y2_R023_C02_S06,Y2_boolean_variation,"(85 NOT IN (68, 85, 5))",%2885%20NOT%20IN%20%2868%2C%2085%2C%205%29%29,"(85 NOT IN (68, 85, 5))","(85 NOT IN (68, 85, 5))",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C03_S01,Y3_encoded_boolean,Y1_R023_C03_S01,Y1_basic_boolean,"NOT (31 NOT IN (14, 31, 48))",NOT%20%2831%20NOT%20IN%20%2814%2C%2031%2C%2048%29%29,"NOT (31 NOT IN (14, 31, 48))","NOT (31 NOT IN (14, 31, 48))",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C03_S02,Y3_encoded_boolean,Y2_R023_C03_S02,Y2_boolean_variation,"NOT (44 NOT IN (27, 44, 61))",NOT%20%2844%20NOT%20IN%20%2827%2C%2044%2C%2061%29%29,"NOT (44 NOT IN (27, 44, 61))","NOT (44 NOT IN (27, 44, 61))",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C03_S03,Y3_encoded_boolean,Y1_R023_C03_S03,Y1_basic_boolean,"NOT (57 NOT IN (40, 57, 74))","NOT%20(57%20NOT%20IN%20(40,%2057,%2074))","NOT (57 NOT IN (40, 57, 74))","NOT (57 NOT IN (40, 57, 74))",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C03_S04,Y3_encoded_boolean,Y1_R023_C03_S04,Y1_basic_boolean,"NOT (96 NOT IN (53, 70, 87))",NOT%20%2896%20NOT%20IN%20%2853%2C%2070%2C%2087%29%29,"NOT (96 NOT IN (53, 70, 87))","NOT (96 NOT IN (53, 70, 87))",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C03_S05,Y3_encoded_boolean,Y2_R023_C03_S05,Y2_boolean_variation,"NOT (92 NOT IN (66, 83, 3))",NOT%20%2892%20NOT%20IN%20%2866%2C%2083%2C%203%29%29,"NOT (92 NOT IN (66, 83, 3))","NOT (92 NOT IN (66, 83, 3))",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C03_S06,Y3_encoded_boolean,Y1_R023_C03_S06,Y1_basic_boolean,"NOT (105 NOT IN (79, 96, 16))","NOT%20(105%20NOT%20IN%20(79,%2096,%2016))","NOT (105 NOT IN (79, 96, 16))","NOT (105 NOT IN (79, 96, 16))",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C04_S01,Y3_encoded_boolean,Y2_R023_C04_S01,Y2_boolean_variation,"(68 NOT IN (25, 42, 59)) IS TRUE",%2868%20NOT%20IN%20%2825%2C%2042%2C%2059%29%29%20IS%20TRUE,"(68 NOT IN (25, 42, 59)) IS TRUE","(68 NOT IN (25, 42, 59)) IS TRUE",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C04_S02,Y3_encoded_boolean,Y1_R023_C04_S02,Y1_basic_boolean,"(81 NOT IN (38, 55, 72)) IS TRUE","(81%20NOT%20IN%20(38,%2055,%2072))%20IS%20TRUE","(81 NOT IN (38, 55, 72)) IS TRUE","(81 NOT IN (38, 55, 72)) IS TRUE",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C04_S03,Y3_encoded_boolean,Y1_R023_C04_S03,Y1_basic_boolean,"(94 NOT IN (51, 68, 85)) IS TRUE",%2894%20NOT%20IN%20%2851%2C%2068%2C%2085%29%29%20IS%20TRUE,"(94 NOT IN (51, 68, 85)) IS TRUE","(94 NOT IN (51, 68, 85)) IS TRUE",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C04_S04,Y3_encoded_boolean,Y2_R023_C04_S04,Y2_boolean_variation,"(81 NOT IN (64, 81, 1)) IS TRUE",%2881%20NOT%20IN%20%2864%2C%2081%2C%201%29%29%20IS%20TRUE,"(81 NOT IN (64, 81, 1)) IS TRUE","(81 NOT IN (64, 81, 1)) IS TRUE",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C04_S05,Y3_encoded_boolean,Y1_R023_C04_S05,Y1_basic_boolean,"(94 NOT IN (77, 94, 14)) IS TRUE","(94%20NOT%20IN%20(77,%2094,%2014))%20IS%20TRUE","(94 NOT IN (77, 94, 14)) IS TRUE","(94 NOT IN (77, 94, 14)) IS TRUE",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C04_S06,Y3_encoded_boolean,Y1_R023_C04_S06,Y1_basic_boolean,"(10 NOT IN (90, 10, 27)) IS TRUE",%2810%20NOT%20IN%20%2890%2C%2010%2C%2027%29%29%20IS%20TRUE,"(10 NOT IN (90, 10, 27)) IS TRUE","(10 NOT IN (90, 10, 27)) IS TRUE",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C05_S01,Y3_encoded_boolean,Y1_R023_C05_S01,Y1_basic_boolean,"(79 NOT IN (36, 53, 70)) IS NOT FALSE","(79%20NOT%20IN%20(36,%2053,%2070))%20IS%20NOT%20FALSE","(79 NOT IN (36, 53, 70)) IS NOT FALSE","(79 NOT IN (36, 53, 70)) IS NOT FALSE",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C05_S02,Y3_encoded_boolean,Y1_R023_C05_S02,Y1_basic_boolean,"(92 NOT IN (49, 66, 83)) IS NOT FALSE",%2892%20NOT%20IN%20%2849%2C%2066%2C%2083%29%29%20IS%20NOT%20FALSE,"(92 NOT IN (49, 66, 83)) IS NOT FALSE","(92 NOT IN (49, 66, 83)) IS NOT FALSE",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C05_S03,Y3_encoded_boolean,Y2_R023_C05_S03,Y2_boolean_variation,"(105 NOT IN (62, 79, 96)) IS NOT FALSE",%28105%20NOT%20IN%20%2862%2C%2079%2C%2096%29%29%20IS%20NOT%20FALSE,"(105 NOT IN (62, 79, 96)) IS NOT FALSE","(105 NOT IN (62, 79, 96)) IS NOT FALSE",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C05_S04,Y3_encoded_boolean,Y1_R023_C05_S04,Y1_basic_boolean,"(92 NOT IN (75, 92, 12)) IS NOT FALSE","(92%20NOT%20IN%20(75,%2092,%2012))%20IS%20NOT%20FALSE","(92 NOT IN (75, 92, 12)) IS NOT FALSE","(92 NOT IN (75, 92, 12)) IS NOT FALSE",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C05_S05,Y3_encoded_boolean,Y1_R023_C05_S05,Y1_basic_boolean,"(8 NOT IN (88, 8, 25)) IS NOT FALSE",%288%20NOT%20IN%20%2888%2C%208%2C%2025%29%29%20IS%20NOT%20FALSE,"(8 NOT IN (88, 8, 25)) IS NOT FALSE","(8 NOT IN (88, 8, 25)) IS NOT FALSE",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C05_S06,Y3_encoded_boolean,Y2_R023_C05_S06,Y2_boolean_variation,"(21 NOT IN (4, 21, 38)) IS NOT FALSE",%2821%20NOT%20IN%20%284%2C%2021%2C%2038%29%29%20IS%20NOT%20FALSE,"(21 NOT IN (4, 21, 38)) IS NOT FALSE","(21 NOT IN (4, 21, 38)) IS NOT FALSE",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C06_S01,Y3_encoded_boolean,Y1_R023_C06_S01,Y1_basic_boolean,"CASE WHEN (90 NOT IN (47, 64, 81)) THEN TRUE ELSE FALSE END",CASE%20WHEN%20%2890%20NOT%20IN%20%2847%2C%2064%2C%2081%29%29%20THEN%20TRUE%20ELSE%20FALSE%20END,"CASE WHEN (90 NOT IN (47, 64, 81)) THEN TRUE ELSE FALSE END","CASE WHEN (90 NOT IN (47, 64, 81)) THEN TRUE ELSE FALSE END",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C06_S02,Y3_encoded_boolean,Y2_R023_C06_S02,Y2_boolean_variation,"CASE WHEN (103 NOT IN (60, 77, 94)) THEN TRUE ELSE FALSE END",CASE%20WHEN%20%28103%20NOT%20IN%20%2860%2C%2077%2C%2094%29%29%20THEN%20TRUE%20ELSE%20FALSE%20END,"CASE WHEN (103 NOT IN (60, 77, 94)) THEN TRUE ELSE FALSE END","CASE WHEN (103 NOT IN (60, 77, 94)) THEN TRUE ELSE FALSE END",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C06_S03,Y3_encoded_boolean,Y1_R023_C06_S03,Y1_basic_boolean,"CASE WHEN (99 NOT IN (73, 90, 10)) THEN TRUE ELSE FALSE END","CASE%20WHEN%20(99%20NOT%20IN%20(73,%2090,%2010))%20THEN%20TRUE%20ELSE%20FALSE%20END","CASE WHEN (99 NOT IN (73, 90, 10)) THEN TRUE ELSE FALSE END","CASE WHEN (99 NOT IN (73, 90, 10)) THEN TRUE ELSE FALSE END",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C06_S04,Y3_encoded_boolean,Y1_R023_C06_S04,Y1_basic_boolean,"CASE WHEN (6 NOT IN (86, 6, 23)) THEN TRUE ELSE FALSE END",CASE%20WHEN%20%286%20NOT%20IN%20%2886%2C%206%2C%2023%29%29%20THEN%20TRUE%20ELSE%20FALSE%20END,"CASE WHEN (6 NOT IN (86, 6, 23)) THEN TRUE ELSE FALSE END","CASE WHEN (6 NOT IN (86, 6, 23)) THEN TRUE ELSE FALSE END",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C06_S05,Y3_encoded_boolean,Y2_R023_C06_S05,Y2_boolean_variation,"CASE WHEN (19 NOT IN (2, 19, 36)) THEN TRUE ELSE FALSE END",CASE%20WHEN%20%2819%20NOT%20IN%20%282%2C%2019%2C%2036%29%29%20THEN%20TRUE%20ELSE%20FALSE%20END,"CASE WHEN (19 NOT IN (2, 19, 36)) THEN TRUE ELSE FALSE END","CASE WHEN (19 NOT IN (2, 19, 36)) THEN TRUE ELSE FALSE END",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C06_S06,Y3_encoded_boolean,Y1_R023_C06_S06,Y1_basic_boolean,"CASE WHEN (32 NOT IN (15, 32, 49)) THEN TRUE ELSE FALSE END","CASE%20WHEN%20(32%20NOT%20IN%20(15,%2032,%2049))%20THEN%20TRUE%20ELSE%20FALSE%20END","CASE WHEN (32 NOT IN (15, 32, 49)) THEN TRUE ELSE FALSE END","CASE WHEN (32 NOT IN (15, 32, 49)) THEN TRUE ELSE FALSE END",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C07_S01,Y3_encoded_boolean,Y2_R023_C07_S01,Y2_boolean_variation,"(101 NOT IN (58, 75, 92)) AND (12 = 12)",%28101%20NOT%20IN%20%2858%2C%2075%2C%2092%29%29%20AND%20%2812%20=%2012%29,"(101 NOT IN (58, 75, 92)) AND (12 = 12)","(101 NOT IN (58, 75, 92)) AND (12 = 12)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C07_S02,Y3_encoded_boolean,Y1_R023_C07_S02,Y1_basic_boolean,"(97 NOT IN (71, 88, 8)) AND (25 = 25)","(97%20NOT%20IN%20(71,%2088,%208))%20AND%20(25%20%3D%2025)","(97 NOT IN (71, 88, 8)) AND (25 = 25)","(97 NOT IN (71, 88, 8)) AND (25 = 25)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C07_S03,Y3_encoded_boolean,Y1_R023_C07_S03,Y1_basic_boolean,"(93 NOT IN (84, 4, 21)) AND (38 = 38)",%2893%20NOT%20IN%20%2884%2C%204%2C%2021%29%29%20AND%20%2838%20%3D%2038%29,"(93 NOT IN (84, 4, 21)) AND (38 = 38)","(93 NOT IN (84, 4, 21)) AND (38 = 38)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C07_S04,Y3_encoded_boolean,Y2_R023_C07_S04,Y2_boolean_variation,"(17 NOT IN (97, 17, 34)) AND (51 = 51)",%2817%20NOT%20IN%20%2897%2C%2017%2C%2034%29%29%20AND%20%2851%20=%2051%29,"(17 NOT IN (97, 17, 34)) AND (51 = 51)","(17 NOT IN (97, 17, 34)) AND (51 = 51)",T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C07_S05,Y3_encoded_boolean,Y1_R023_C07_S05,Y1_basic_boolean,"(30 NOT IN (13, 30, 47)) AND (64 = 64)","(30%20NOT%20IN%20(13,%2030,%2047))%20AND%20(64%20%3D%2064)","(30 NOT IN (13, 30, 47)) AND (64 = 64)","(30 NOT IN (13, 30, 47)) AND (64 = 64)",T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R023_C07_S06,Y3_encoded_boolean,Y1_R023_C07_S06,Y1_basic_boolean,"(43 NOT IN (26, 43, 60)) AND (77 = 77)",%2843%20NOT%20IN%20%2826%2C%2043%2C%2060%29%29%20AND%20%2877%20%3D%2077%29,"(43 NOT IN (26, 43, 60)) AND (77 = 77)","(43 NOT IN (26, 43, 60)) AND (77 = 77)",T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
